question,answer,ground_truth,query
 Each composite number is not angry. Even numbers are shy. Every even number is a real number. Real numbers are angry. Each real number is a fraction. Each fraction is red. Each fraction is a Mersenne prime. Mersenne primes are not earthy. Every Mersenne prime is a prime number. Each prime number is not transparent. Every prime number is a natural number. Sam is a real number. Is the following statement true or false? Sam is angry., Sam is a real number. Real numbers are angry. Sam is angry. ,True,Sam is angry
 Every invertebrate is fruity. Invertebrates are insects. Insects are not feisty. Animals are not temperate. Each insect is a spider. Each spider is temperate. Each spider is a moth. Each moth is sweet. Moths are ants. Stella is a spider. Is the following statement true or false? Stella is temperate., Stella is a spider. Each spider is temperate. Stella is temperate. ,True,Stella is temperate
 Every moth is bright. Each moth is an invertebrate. Invertebrates are not bitter. Invertebrates are arthropods. Every arthropod is wooden. Every butterfly is bitter. Each arthropod is a crustacean. Polly is an invertebrate. Is the following statement true or false? Polly is not bitter., Polly is an invertebrate. Invertebrates are not bitter. Polly is not bitter. ,True,Polly is not bitter
 Every invertebrate is happy. Each invertebrate is an animal. Butterflies are not happy. Each animal is mean. Each animal is a moth. Moths are sweet. Moths are ants. Ants are not large. Ants are insects. Insects are bright. Each insect is a spider. Spiders are not hot. Spiders are crustaceans. Every crustacean is not earthy. Each crustacean is a lepidopteran. Each lepidopteran is blue. Every lepidopteran is an arthropod. Sam is an invertebrate. Is the following statement true or false? Sam is not happy., Sam is an invertebrate. Every invertebrate is happy. Sam is happy. ,False,Sam is not happy
 Every dog is not brown. Dogs are snakes. Every snake is not wooden. Snakes are felines. Felines are mean. Every feline is a mammal. Each mammal is temperate. Mammals are sheep. Carnivores are brown. Every sheep is not shy. Each sheep is a vertebrate. Stella is a dog. Is the following statement true or false? Stella is not brown., Stella is a dog. Every dog is not brown. Stella is not brown. ,True,Stella is not brown
 Each number is floral. Real numbers are not floral. Every number is a composite number. Composite numbers are not brown. Composite numbers are Mersenne primes. Mersenne primes are dull. Mersenne primes are integers. Integers are not transparent. Every integer is a fraction. Fractions are not liquid. Each fraction is a negative number. Each negative number is angry. Each negative number is an even number. Sam is a number. Is the following statement true or false? Sam is not floral., Sam is a number. Each number is floral. Sam is floral. ,False,Sam is not floral
 Negative numbers are small. Negative numbers are real numbers. Real numbers are kind. Each real number is an even number. Each even number is temperate. Every even number is a composite number. Composite numbers are not bright. Composite numbers are integers. Integers are wooden. Every fraction is not opaque. Each integer is a natural number. Natural numbers are opaque. Natural numbers are numbers. Numbers are not sour. Numbers are prime numbers. Rex is a natural number. Is the following statement true or false? Rex is not opaque., Rex is a natural number. Natural numbers are opaque. Rex is opaque. ,False,Rex is not opaque
 Lepidopterans are blue. Each lepidopteran is an animal. Animals are fruity. Every animal is an insect. Insects are large. Each insect is an ant. Every ant is not sour. Each ant is an invertebrate. Every invertebrate is happy. Every invertebrate is an arthropod. Arthropods are temperate. Arthropods are spiders. Butterflies are luminous. Each spider is not luminous. Each spider is a crustacean. Crustaceans are transparent. Every crustacean is a moth. Sally is a spider. Is the following statement true or false? Sally is luminous., Sally is a spider. Each spider is not luminous. Sally is not luminous. ,False,Sally is luminous
 Ants are not floral. Each arthropod is floral. Every ant is a spider. Every spider is not sweet. Spiders are lepidopterans. Each lepidopteran is not dull. Lepidopterans are animals. Animals are large. Each animal is an insect. Each insect is aggressive. Insects are invertebrates. Invertebrates are metallic. Each invertebrate is a moth. Moths are blue. Every moth is a crustacean. Each crustacean is feisty. Crustaceans are butterflies. Polly is an ant. Is the following statement true or false? Polly is floral., Polly is an ant. Ants are not floral. Polly is not floral. ,False,Polly is floral
 Each invertebrate is not luminous. Invertebrates are butterflies. Every butterfly is not transparent. Each moth is luminous. Butterflies are ants. Ants are not mean. Ants are lepidopterans. Stella is an invertebrate. Is the following statement true or false? Stella is not luminous., Stella is an invertebrate. Each invertebrate is not luminous. Stella is not luminous. ,True,Stella is not luminous
 Fractions are not amenable. Prime numbers are amenable. Each fraction is a number. Every number is opaque. Every number is a composite number. Fae is a fraction. Is the following statement true or false? Fae is not amenable., Fae is a fraction. Fractions are not amenable. Fae is not amenable. ,True,Fae is not amenable
 Moths are sweet. Every moth is an ant. Ants are large. Ants are lepidopterans. Each lepidopteran is opaque. Every lepidopteran is a butterfly. Every butterfly is bright. Butterflies are crustaceans. Arthropods are not opaque. Crustaceans are angry. Every crustacean is a spider. Each spider is blue. Spiders are invertebrates. Rex is a lepidopteran. Is the following statement true or false? Rex is opaque., Rex is a lepidopteran. Each lepidopteran is opaque. Rex is opaque. ,True,Rex is opaque
 Composite numbers are bright. Every composite number is a negative number. Each negative number is not feisty. Negative numbers are numbers. Every number is not brown. Numbers are even numbers. Even numbers are spicy. Every even number is a prime number. Prime numbers are transparent. Every prime number is a natural number. Natural numbers are kind. Natural numbers are Mersenne primes. Mersenne primes are earthy. Every Mersenne prime is a fraction. Each fraction is not luminous. Real numbers are not kind. Fractions are integers. Polly is a natural number. Is the following statement true or false? Polly is kind., Polly is a natural number. Natural numbers are kind. Polly is kind. ,True,Polly is kind
 Every carnivore is luminous. Mammals are not luminous. Each mammal is a feline. Each feline is transparent. Every feline is a cat. Fae is a mammal. Is the following statement true or false? Fae is not luminous., Fae is a mammal. Mammals are not luminous. Fae is not luminous. ,True,Fae is not luminous
 Each real number is not kind. Real numbers are negative numbers. Each negative number is not hot. Fractions are kind. Negative numbers are composite numbers. Sally is a real number. Is the following statement true or false? Sally is not kind., Sally is a real number. Each real number is not kind. Sally is not kind. ,True,Sally is not kind
 Vertebrates are not orange. Each vertebrate is a dog. Dogs are wooden. Dogs are cows. Cats are orange. Wren is a vertebrate. Is the following statement true or false? Wren is not orange., Wren is a vertebrate. Vertebrates are not orange. Wren is not orange. ,True,Wren is not orange
 Every cat is not blue. Each cat is a carnivore. Each carnivore is bright. Carnivores are mammals. Each mammal is spicy. Every mammal is a dog. Every dog is not angry. Dogs are felines. Cows are not spicy. Felines are not earthy. Felines are sheep. Sheep are opaque. Sheep are animals. Animals are not hot. Animals are vertebrates. Alex is a mammal. Is the following statement true or false? Alex is spicy., Alex is a mammal. Each mammal is spicy. Alex is spicy. ,True,Alex is spicy
 Prime numbers are wooden. Each prime number is a natural number. Natural numbers are not opaque. Natural numbers are composite numbers. Composite numbers are not floral. Composite numbers are Mersenne primes. Every Mersenne prime is not sweet. Mersenne primes are real numbers. Each real number is not mean. Even numbers are sweet. Every real number is a fraction. Wren is a Mersenne prime. Is the following statement true or false? Wren is not sweet., Wren is a Mersenne prime. Every Mersenne prime is not sweet. Wren is not sweet. ,True,Wren is not sweet
 Every spider is not small. Moths are small. Every spider is a lepidopteran. Lepidopterans are sweet. Every lepidopteran is an animal. Sally is a spider. Is the following statement true or false? Sally is not small., Sally is a spider. Every spider is not small. Sally is not small. ,True,Sally is not small
 Each negative number is nervous. Each negative number is a composite number. Composite numbers are not amenable. Real numbers are not nervous. Composite numbers are natural numbers. Wren is a negative number. Is the following statement true or false? Wren is nervous., Wren is a negative number. Each negative number is nervous. Wren is nervous. ,True,Wren is nervous
 Each prime number is not large. Every prime number is a composite number. Composite numbers are transparent. Every composite number is a fraction. Every even number is large. Fractions are orange. Fractions are natural numbers. Each natural number is nervous. Each natural number is a negative number. Each negative number is not fruity. Negative numbers are Mersenne primes. Mersenne primes are not bitter. Mersenne primes are integers. Sam is a prime number. Is the following statement true or false? Sam is large., Sam is a prime number. Each prime number is not large. Sam is not large. ,False,Sam is large
 Each butterfly is earthy. Every butterfly is an ant. Each animal is not amenable. Ants are amenable. Each ant is an invertebrate. Every invertebrate is not opaque. Each invertebrate is a lepidopteran. Alex is an ant. Is the following statement true or false? Alex is amenable., Alex is an ant. Ants are amenable. Alex is amenable. ,True,Alex is amenable
 Each snake is fruity. Snakes are cows. Every cow is not transparent. Each cow is an animal. Every animal is not kind. Animals are mammals. Every sheep is transparent. Mammals are not shy. Each mammal is a carnivore. Stella is a cow. Is the following statement true or false? Stella is not transparent., Stella is a cow. Every cow is not transparent. Stella is not transparent. ,True,Stella is not transparent
 Numbers are not wooden. Numbers are natural numbers. Each natural number is transparent. Each even number is not transparent. Natural numbers are Mersenne primes. Mersenne primes are not dull. Every Mersenne prime is an integer. Sally is a natural number. Is the following statement true or false? Sally is not transparent., Sally is a natural number. Each natural number is transparent. Sally is transparent. ,False,Sally is not transparent
 Every moth is cold. Every moth is an animal. Arthropods are not cold. Animals are transparent. Every animal is a spider. Stella is a moth. Is the following statement true or false? Stella is cold., Stella is a moth. Every moth is cold. Stella is cold. ,True,Stella is cold
 Every crustacean is dull. Each crustacean is an animal. Every animal is metallic. Animals are invertebrates. Ants are not dull. Invertebrates are red. Each invertebrate is a butterfly. Wren is a crustacean. Is the following statement true or false? Wren is dull., Wren is a crustacean. Every crustacean is dull. Wren is dull. ,True,Wren is dull
 Carnivores are not metallic. Each carnivore is an animal. Animals are not small. Every animal is a vertebrate. Vertebrates are angry. Each vertebrate is a cow. Each cow is not orange. Each cow is a feline. Felines are nervous. Every feline is a sheep. Sheep are opaque. Each sheep is a dog. Each dog is not fruity. Each snake is not angry. Dogs are cats. Cats are spicy. Cats are mammals. Rex is a vertebrate. Is the following statement true or false? Rex is not angry., Rex is a vertebrate. Vertebrates are angry. Rex is angry. ,False,Rex is not angry
 Prime numbers are not sour. Prime numbers are even numbers. Even numbers are not brown. Even numbers are composite numbers. Each real number is sour. Wren is a prime number. Is the following statement true or false? Wren is sour., Wren is a prime number. Prime numbers are not sour. Wren is not sour. ,False,Wren is sour
 Each insect is not feisty. Invertebrates are feisty. Every invertebrate is an animal. Every animal is temperate. Every animal is a spider. Fae is an invertebrate. Is the following statement true or false? Fae is feisty., Fae is an invertebrate. Invertebrates are feisty. Fae is feisty. ,True,Fae is feisty
 Invertebrates are red. Each invertebrate is a moth. Each moth is temperate. Every moth is an insect. Each lepidopteran is not red. Rex is an invertebrate. Is the following statement true or false? Rex is not red., Rex is an invertebrate. Invertebrates are red. Rex is red. ,False,Rex is not red
 Crustaceans are not temperate. Moths are temperate. Moths are insects. Each insect is fruity. Every insect is an ant. Sam is a moth. Is the following statement true or false? Sam is not temperate., Sam is a moth. Moths are temperate. Sam is temperate. ,False,Sam is not temperate
 Carnivores are fruity. Every cat is not cold. Carnivores are mammals. Every mammal is opaque. Mammals are cows. Cows are not angry. Each cow is an animal. Each animal is cold. Animals are snakes. Every snake is not metallic. Snakes are dogs. Max is an animal. Is the following statement true or false? Max is cold., Max is an animal. Each animal is cold. Max is cold. ,True,Max is cold
 Every natural number is not transparent. Each natural number is a number. Every number is cold. Each real number is angry. Numbers are composite numbers. Composite numbers are not angry. Each composite number is a Mersenne prime. Mersenne primes are bitter. Mersenne primes are even numbers. Stella is a composite number. Is the following statement true or false? Stella is angry., Stella is a composite number. Composite numbers are not angry. Stella is not angry. ,False,Stella is angry
 Each crustacean is blue. Each moth is liquid. Each moth is a spider. Spiders are dull. Spiders are invertebrates. Each invertebrate is cold. Every invertebrate is a lepidopteran. Each lepidopteran is not blue. Every lepidopteran is an arthropod. Arthropods are not large. Each arthropod is a butterfly. Max is a lepidopteran. Is the following statement true or false? Max is blue., Max is a lepidopteran. Each lepidopteran is not blue. Max is not blue. ,False,Max is blue
 Invertebrates are not shy. Every invertebrate is a butterfly. Each butterfly is blue. Butterflies are lepidopterans. Lepidopterans are bright. Lepidopterans are spiders. Spiders are small. Each spider is a moth. Each moth is amenable. Moths are arthropods. Arthropods are opaque. Arthropods are animals. Each animal is earthy. Animals are crustaceans. Ants are not amenable. Every crustacean is not sour. Every crustacean is an insect. Sam is a moth. Is the following statement true or false? Sam is not amenable., Sam is a moth. Each moth is amenable. Sam is amenable. ,False,Sam is not amenable
 Every ant is floral. Every ant is an invertebrate. Each invertebrate is hot. Each invertebrate is an insect. Insects are spicy. Insects are lepidopterans. Butterflies are not red. Lepidopterans are amenable. Lepidopterans are arthropods. Each arthropod is red. Every arthropod is a crustacean. Crustaceans are not metallic. Crustaceans are animals. Wren is an arthropod. Is the following statement true or false? Wren is red., Wren is an arthropod. Each arthropod is red. Wren is red. ,True,Wren is red
 Each insect is mean. Every insect is a moth. Every moth is not red. Moths are ants. Ants are not large. Animals are metallic. Ants are lepidopterans. Each lepidopteran is bright. Each lepidopteran is a crustacean. Each crustacean is not metallic. Crustaceans are spiders. Spiders are feisty. Spiders are arthropods. Every arthropod is not opaque. Arthropods are butterflies. Butterflies are hot. Every butterfly is an invertebrate. Sally is a crustacean. Is the following statement true or false? Sally is not metallic., Sally is a crustacean. Each crustacean is not metallic. Sally is not metallic. ,True,Sally is not metallic
 Every sheep is luminous. Every sheep is a vertebrate. Each cat is not luminous. Every vertebrate is not shy. Vertebrates are dogs. Sally is a sheep. Is the following statement true or false? Sally is not luminous., Sally is a sheep. Every sheep is luminous. Sally is luminous. ,False,Sally is not luminous
 Every snake is sour. Snakes are sheep. Sheep are amenable. Sheep are carnivores. Carnivores are shy. Carnivores are cows. Cows are transparent. Cows are cats. Cats are temperate. Each cat is an animal. Mammals are not amenable. Animals are luminous. Animals are vertebrates. Vertebrates are not earthy. Vertebrates are dogs. Each dog is bright. Each dog is a feline. Alex is a sheep. Is the following statement true or false? Alex is not amenable., Alex is a sheep. Sheep are amenable. Alex is amenable. ,False,Alex is not amenable
 Each natural number is not bitter. Natural numbers are negative numbers. Numbers are bitter. Negative numbers are dull. Every negative number is a fraction. Polly is a natural number. Is the following statement true or false? Polly is not bitter., Polly is a natural number. Each natural number is not bitter. Polly is not bitter. ,True,Polly is not bitter
 Integers are not small. Integers are composite numbers. Every composite number is not angry. Every composite number is an even number. Even numbers are bright. Natural numbers are floral. Even numbers are real numbers. Real numbers are wooden. Real numbers are prime numbers. Each prime number is not floral. Prime numbers are numbers. Every number is shy. Each number is a Mersenne prime. Each Mersenne prime is transparent. Mersenne primes are negative numbers. Every negative number is not bitter. Each negative number is a fraction. Polly is a prime number. Is the following statement true or false? Polly is floral., Polly is a prime number. Each prime number is not floral. Polly is not floral. ,False,Polly is floral
 Butterflies are amenable. Every butterfly is a moth. Moths are shy. Moths are arthropods. Each arthropod is not luminous. Every arthropod is a spider. Spiders are cold. Each spider is an insect. Every insect is red. Insects are animals. Animals are not large. Animals are ants. Each ant is not transparent. Ants are crustaceans. Every invertebrate is large. Sally is an animal. Is the following statement true or false? Sally is not large., Sally is an animal. Animals are not large. Sally is not large. ,True,Sally is not large
 Sheep are bright. Mammals are not bright. Every mammal is a carnivore. Every carnivore is not cold. Each carnivore is a cat. Sam is a mammal. Is the following statement true or false? Sam is bright., Sam is a mammal. Mammals are not bright. Sam is not bright. ,False,Sam is bright
 Each feline is happy. Each feline is a carnivore. Each carnivore is spicy. Carnivores are sheep. Sheep are cold. Sheep are animals. Each animal is not large. Each animal is a dog. Dogs are fruity. Each snake is not fruity. Dogs are cows. Every cow is luminous. Every cow is a mammal. Every mammal is dull. Mammals are vertebrates. Every vertebrate is opaque. Vertebrates are cats. Sally is a dog. Is the following statement true or false? Sally is not fruity., Sally is a dog. Dogs are fruity. Sally is fruity. ,False,Sally is not fruity
 Dogs are not fruity. Mammals are large. Mammals are cows. Every cow is fruity. Cows are snakes. Snakes are happy. Every snake is a vertebrate. Max is a cow. Is the following statement true or false? Max is fruity., Max is a cow. Every cow is fruity. Max is fruity. ,True,Max is fruity
 Every vertebrate is not amenable. Each vertebrate is an animal. Animals are not hot. Animals are dogs. Each dog is not shy. Dogs are cows. Each cow is dull. Each cow is a feline. Felines are sour. Each feline is a mammal. Each mammal is opaque. Mammals are snakes. Carnivores are hot. Snakes are wooden. Snakes are cats. Cats are red. Every cat is a sheep. Fae is an animal. Is the following statement true or false? Fae is not hot., Fae is an animal. Animals are not hot. Fae is not hot. ,True,Fae is not hot
 Every snake is not orange. Every snake is a mammal. Mammals are not opaque. Every mammal is a feline. Dogs are orange. Sally is a snake. Is the following statement true or false? Sally is not orange., Sally is a snake. Every snake is not orange. Sally is not orange. ,True,Sally is not orange
 Every feline is not feisty. Felines are cats. Cats are fruity. Every cat is a sheep. Each sheep is cold. Each sheep is a cow. Cows are opaque. Every cow is an animal. Animals are not aggressive. Mammals are not dull. Animals are dogs. Every dog is dull. Dogs are vertebrates. Each vertebrate is not brown. Vertebrates are carnivores. Carnivores are not large. Carnivores are snakes. Fae is a dog. Is the following statement true or false? Fae is dull., Fae is a dog. Every dog is dull. Fae is dull. ,True,Fae is dull
 Every lepidopteran is feisty. Each lepidopteran is an insect. Every insect is angry. Arthropods are not hot. Every insect is an animal. Each animal is hot. Animals are spiders. Each spider is bright. Every spider is an ant. Max is an animal. Is the following statement true or false? Max is hot., Max is an animal. Each animal is hot. Max is hot. ,True,Max is hot
 Integers are not angry. Every negative number is dull. Every negative number is a prime number. Prime numbers are not large. Prime numbers are Mersenne primes. Mersenne primes are angry. Mersenne primes are even numbers. Even numbers are blue. Every even number is a real number. Stella is a Mersenne prime. Is the following statement true or false? Stella is not angry., Stella is a Mersenne prime. Mersenne primes are angry. Stella is angry. ,False,Stella is not angry
 Each number is wooden. Every number is a real number. Every real number is angry. Every real number is a negative number. Every negative number is not large. Negative numbers are composite numbers. Composite numbers are not earthy. Each composite number is an integer. Every integer is blue. Integers are Mersenne primes. Each Mersenne prime is shy. Even numbers are not wooden. Each Mersenne prime is a natural number. Every natural number is not transparent. Natural numbers are fractions. Fractions are not bright. Fractions are prime numbers. Polly is a number. Is the following statement true or false? Polly is wooden., Polly is a number. Each number is wooden. Polly is wooden. ,True,Polly is wooden
 Each moth is not floral. Moths are insects. Every insect is not mean. Insects are crustaceans. Butterflies are transparent. Crustaceans are blue. Each crustacean is an ant. Ants are not transparent. Each ant is an invertebrate. Each invertebrate is hot. Invertebrates are animals. Wren is an ant. Is the following statement true or false? Wren is transparent., Wren is an ant. Ants are not transparent. Wren is not transparent. ,False,Wren is transparent
 Real numbers are not earthy. Real numbers are prime numbers. Every prime number is orange. Prime numbers are Mersenne primes. Each Mersenne prime is kind. Each Mersenne prime is a fraction. Every number is not temperate. Fractions are large. Fractions are negative numbers. Every negative number is temperate. Each negative number is a composite number. Composite numbers are feisty. Every composite number is a natural number. Stella is a negative number. Is the following statement true or false? Stella is temperate., Stella is a negative number. Every negative number is temperate. Stella is temperate. ,True,Stella is temperate
 Butterflies are happy. Butterflies are invertebrates. Every invertebrate is not sweet. Invertebrates are animals. Each animal is dull. Animals are ants. Every ant is fruity. Every moth is not liquid. Every ant is an arthropod. Arthropods are not large. Each arthropod is a spider. Every spider is liquid. Each spider is a lepidopteran. Each lepidopteran is not transparent. Every lepidopteran is an insect. Insects are not hot. Every insect is a crustacean. Stella is a spider. Is the following statement true or false? Stella is not liquid., Stella is a spider. Every spider is liquid. Stella is liquid. ,False,Stella is not liquid
 Each spider is bright. Each spider is an ant. Every butterfly is large. Each ant is sweet. Every ant is a lepidopteran. Every lepidopteran is not large. Each lepidopteran is a moth. Every moth is not floral. Every moth is a crustacean. Every crustacean is nervous. Crustaceans are animals. Every animal is not mean. Each animal is an insect. Each insect is opaque. Each insect is an invertebrate. Each invertebrate is temperate. Every invertebrate is an arthropod. Sam is a lepidopteran. Is the following statement true or false? Sam is not large., Sam is a lepidopteran. Every lepidopteran is not large. Sam is not large. ,True,Sam is not large
 Every dog is not shy. Each animal is shy. Animals are cows. Each cow is angry. Every cow is a snake. Alex is an animal. Is the following statement true or false? Alex is not shy., Alex is an animal. Each animal is shy. Alex is shy. ,False,Alex is not shy
 Mersenne primes are not aggressive. Each Mersenne prime is an even number. Each even number is not floral. Each even number is an integer. Integers are large. Each integer is a fraction. Each fraction is not bright. Each fraction is a real number. Each real number is nervous. Each real number is a prime number. Each prime number is transparent. Prime numbers are natural numbers. Every natural number is sweet. Each composite number is bright. Each natural number is a number. Numbers are not orange. Numbers are negative numbers. Wren is a fraction. Is the following statement true or false? Wren is bright., Wren is a fraction. Each fraction is not bright. Wren is not bright. ,False,Wren is bright
 Butterflies are kind. Each arthropod is not kind. Every arthropod is an invertebrate. Invertebrates are small. Invertebrates are animals. Each animal is bright. Every animal is a spider. Each spider is not bitter. Spiders are moths. Alex is an arthropod. Is the following statement true or false? Alex is not kind., Alex is an arthropod. Each arthropod is not kind. Alex is not kind. ,True,Alex is not kind
 Each butterfly is not angry. Every butterfly is a moth. Moths are small. Every moth is an insect. Every insect is not red. Every insect is an animal. Each animal is dull. Animals are invertebrates. Invertebrates are hot. Every invertebrate is a spider. Spiders are feisty. Spiders are lepidopterans. Every lepidopteran is not earthy. Every lepidopteran is an ant. Every arthropod is red. Every ant is sour. Ants are crustaceans. Max is an insect. Is the following statement true or false? Max is not red., Max is an insect. Every insect is not red. Max is not red. ,True,Max is not red
 Numbers are spicy. Each number is a negative number. Negative numbers are not happy. Every negative number is a fraction. Fractions are not temperate. Fractions are prime numbers. Real numbers are happy. Stella is a negative number. Is the following statement true or false? Stella is happy., Stella is a negative number. Negative numbers are not happy. Stella is not happy. ,False,Stella is happy
 Each dog is sweet. Dogs are sheep. Each sheep is not small. Every sheep is a vertebrate. Vertebrates are not liquid. Vertebrates are carnivores. Carnivores are not orange. Mammals are small. Every carnivore is a snake. Polly is a sheep. Is the following statement true or false? Polly is not small., Polly is a sheep. Each sheep is not small. Polly is not small. ,True,Polly is not small
 Each sheep is not sour. Each carnivore is sour. Carnivores are dogs. Every dog is earthy. Each dog is a mammal. Each mammal is opaque. Mammals are animals. Each animal is dull. Animals are vertebrates. Each vertebrate is nervous. Every vertebrate is a cow. Every cow is blue. Cows are cats. Cats are small. Each cat is a snake. Polly is a carnivore. Is the following statement true or false? Polly is not sour., Polly is a carnivore. Each carnivore is sour. Polly is sour. ,False,Polly is not sour
 Every ant is not opaque. Ants are moths. Moths are bright. Spiders are brown. Moths are crustaceans. Every crustacean is luminous. Each crustacean is an arthropod. Arthropods are aggressive. Arthropods are butterflies. Butterflies are floral. Butterflies are lepidopterans. Each lepidopteran is not brown. Lepidopterans are animals. Animals are sweet. Animals are invertebrates. Wren is a lepidopteran. Is the following statement true or false? Wren is brown., Wren is a lepidopteran. Each lepidopteran is not brown. Wren is not brown. ,False,Wren is brown
 Composite numbers are brown. Composite numbers are prime numbers. Each prime number is cold. Numbers are wooden. Prime numbers are real numbers. Each real number is not wooden. Each real number is an integer. Every integer is not spicy. Integers are even numbers. Polly is a real number. Is the following statement true or false? Polly is wooden., Polly is a real number. Each real number is not wooden. Polly is not wooden. ,False,Polly is wooden
 Vertebrates are not floral. Vertebrates are cows. Cows are not transparent. Cows are dogs. Mammals are floral. Dogs are bitter. Every dog is a sheep. Stella is a vertebrate. Is the following statement true or false? Stella is not floral., Stella is a vertebrate. Vertebrates are not floral. Stella is not floral. ,True,Stella is not floral
 Every crustacean is mean. Each crustacean is a spider. Moths are transparent. Each spider is not fruity. Spiders are arthropods. Arthropods are not transparent. Arthropods are animals. Animals are wooden. Animals are insects. Wren is an arthropod. Is the following statement true or false? Wren is not transparent., Wren is an arthropod. Arthropods are not transparent. Wren is not transparent. ,True,Wren is not transparent
 Every dog is not bright. Dogs are felines. Mammals are bright. Every feline is large. Every feline is an animal. Animals are not sweet. Every animal is a cat. Rex is a dog. Is the following statement true or false? Rex is bright., Rex is a dog. Every dog is not bright. Rex is not bright. ,False,Rex is bright
 Invertebrates are hot. Invertebrates are animals. Each animal is not feisty. Animals are crustaceans. Each crustacean is amenable. Crustaceans are arthropods. Arthropods are not opaque. Every arthropod is a lepidopteran. Lepidopterans are luminous. Lepidopterans are ants. Ants are sour. Each ant is a spider. Moths are feisty. Each spider is not large. Every spider is an insect. Insects are not floral. Every insect is a butterfly. Max is an animal. Is the following statement true or false? Max is feisty., Max is an animal. Each animal is not feisty. Max is not feisty. ,False,Max is feisty
 Felines are metallic. Every feline is a dog. Each dog is dull. Cows are small. Dogs are carnivores. Every carnivore is happy. Each carnivore is a mammal. Each mammal is not small. Mammals are cats. Each cat is brown. Cats are animals. Sam is a mammal. Is the following statement true or false? Sam is not small., Sam is a mammal. Each mammal is not small. Sam is not small. ,True,Sam is not small
 Integers are not orange. Integers are natural numbers. Every natural number is transparent. Each natural number is a composite number. Every composite number is amenable. Composite numbers are Mersenne primes. Mersenne primes are not earthy. Numbers are not amenable. Mersenne primes are negative numbers. Negative numbers are not shy. Each negative number is a fraction. Polly is a composite number. Is the following statement true or false? Polly is amenable., Polly is a composite number. Every composite number is amenable. Polly is amenable. ,True,Polly is amenable
 Every animal is not angry. Animals are arthropods. Arthropods are metallic. Each arthropod is an invertebrate. Ants are angry. Rex is an animal. Is the following statement true or false? Rex is angry., Rex is an animal. Every animal is not angry. Rex is not angry. ,False,Rex is angry
 Animals are small. Animals are mammals. Each mammal is spicy. Mammals are cats. Cats are not wooden. Each cat is a vertebrate. Vertebrates are transparent. Vertebrates are felines. Every feline is not fruity. Every feline is a sheep. Every sheep is hot. Sheep are cows. Each cow is kind. Cows are carnivores. Carnivores are red. Carnivores are dogs. Every snake is wooden. Rex is a cat. Is the following statement true or false? Rex is not wooden., Rex is a cat. Cats are not wooden. Rex is not wooden. ,True,Rex is not wooden
 Negative numbers are bright. Prime numbers are liquid. Every negative number is a fraction. Every fraction is not transparent. Every fraction is a real number. Each real number is not spicy. Real numbers are natural numbers. Every natural number is small. Every natural number is an even number. Each even number is earthy. Each even number is a composite number. Each composite number is not brown. Composite numbers are Mersenne primes. Every Mersenne prime is not liquid. Each Mersenne prime is a number. Each number is hot. Numbers are integers. Sally is a Mersenne prime. Is the following statement true or false? Sally is liquid., Sally is a Mersenne prime. Every Mersenne prime is not liquid. Sally is not liquid. ,False,Sally is liquid
 Every mammal is sour. Every mammal is an animal. Each animal is fruity. Animals are sheep. Sheep are not small. Felines are not sour. Every sheep is a snake. Every snake is transparent. Each snake is a dog. Dogs are feisty. Every dog is a carnivore. Carnivores are not amenable. Carnivores are cows. Max is a mammal. Is the following statement true or false? Max is not sour., Max is a mammal. Every mammal is sour. Max is sour. ,False,Max is not sour
 Crustaceans are not transparent. Crustaceans are ants. Ants are not large. Every ant is an insect. Insects are spicy. Every insect is a moth. Every moth is not dull. Arthropods are luminous. Moths are butterflies. Butterflies are nervous. Butterflies are lepidopterans. Every lepidopteran is not blue. Each lepidopteran is a spider. Spiders are not luminous. Spiders are invertebrates. Every invertebrate is not mean. Invertebrates are animals. Stella is a spider. Is the following statement true or false? Stella is luminous., Stella is a spider. Spiders are not luminous. Stella is not luminous. ,False,Stella is luminous
 Every vertebrate is wooden. Each carnivore is not wooden. Every carnivore is a dog. Dogs are hot. Dogs are animals. Sam is a carnivore. Is the following statement true or false? Sam is not wooden., Sam is a carnivore. Each carnivore is not wooden. Sam is not wooden. ,True,Sam is not wooden
 Ants are feisty. Ants are insects. Insects are not temperate. Each insect is a spider. Every spider is not bright. Each spider is a lepidopteran. Lepidopterans are opaque. Each lepidopteran is a moth. Each moth is large. Each butterfly is bright. Moths are animals. Sally is a spider. Is the following statement true or false? Sally is not bright., Sally is a spider. Every spider is not bright. Sally is not bright. ,True,Sally is not bright
 Crustaceans are not spicy. Every animal is spicy. Crustaceans are arthropods. Arthropods are temperate. Each arthropod is an ant. Ants are red. Each ant is a butterfly. Every butterfly is floral. Butterflies are spiders. Every spider is bright. Spiders are invertebrates. Max is a crustacean. Is the following statement true or false? Max is spicy., Max is a crustacean. Crustaceans are not spicy. Max is not spicy. ,False,Max is spicy
 Even numbers are bright. Each even number is a fraction. Every fraction is fruity. Composite numbers are not fruity. Fractions are real numbers. Real numbers are sweet. Real numbers are natural numbers. Fae is a fraction. Is the following statement true or false? Fae is fruity., Fae is a fraction. Every fraction is fruity. Fae is fruity. ,True,Fae is fruity
